0 0 0
0 100 0
175 100 0
0 110 0
25 110 0
150 110 0
175 110 0
0 120 0
25 120 0
150 120 0
175 120 0
0 130 0
25 130 0
150 130 0
175 130 0
0 140 0
25 140 0
150 140 0
175 140 0
0 150 0
25 150 0 
150 150 0
175 150 0
0 160 0
25 160 0
150 160 0
175 160 0
0 170 0
25 170 0
150 170 0
175 170 0
0 180 0
25 180 0
150 180 0
175 180 0
0 190 0
25 190 0
150 190 0
175 190 0
0 200 0
25 200 0
150 200 0
175 200 0
0 210 0
25 210 0
150 210 0
175 210 0
0 220 0
25 220 0
150 220 0
175 220 0
0 230 0
25 230 0
150 230 0
175 230 0
0 240 0
25 240 0
150 240 0
175 240 0
0 250 0
25 250 0
150 250 0
175 250 0
0 260 0
25 260 0
150 260 0
175 260 0
0 270 0
25 270 0
150 270 0
175 270 0
0 280 0
25 280 0
150 280 0
175 280 0
0 290 0
25 290 0
150 290 0
175 290 0
0 300 0
25 300 0
150 300 0
175 300 0
0 310 0
25 310 0
150 310 0
175 310 0
0 320 0
25 320 0
150 320 0
175 320 0
0 330 0
25 330 0
150 330 0
175 330 0
0 340 0
175 340 0
